,ID,Value,Recency,Quantity
0,1,4,4,4
1,2,1,4,4
2,3,2,2,3
3,4,2,4,3
4,5,2,3,2
5,6,3,4,4
6,7,1,3,3
7,8,3,3,2
8,9,2,1,3
9,10,2,4,4
10,11,4,3,3
11,12,1,4,4
12,13,1,4,4
13,14,2,4,4
14,15,1,4,4
15,16,3,4,3
16,17,1,4,4
17,18,4,4,4
18,19,1,4,4
19,20,1,4,4
20,21,2,4,4
21,22,4,4,4
22,23,3,4,4
23,24,2,3,4
24,25,3,1,2
25,26,1,4,4
26,27,1,4,4
27,28,2,4,3
28,29,2,2,1
29,30,4,4,4
30,31,1,2,3
31,32,2,3,3
32,33,1,3,1
33,34,3,4,4
34,35,3,4,4
35,36,3,4,4
36,37,2,2,3
37,38,4,4,4
38,39,1,3,3
39,40,3,3,1
40,41,3,4,4
41,42,3,4,4
42,43,3,2,3
43,44,3,4,3
44,45,4,4,4
45,46,1,4,3
46,47,3,1,1
47,48,2,1,1
48,49,2,4,4
49,50,4,4,4
50,51,1,4,3
51,52,1,2,2
52,53,4,2,3
53,54,2,4,4
54,55,1,4,4
55,56,2,4,3
56,57,1,4,4
57,58,3,4,4
58,59,4,4,3
59,60,3,4,4
60,61,1,4,4
61,62,3,4,2
62,63,2,2,3
63,64,2,1,1
64,65,3,3,3
65,66,2,4,4
66,67,3,4,3
67,68,1,4,4
68,69,1,4,4
69,70,1,4,4
70,71,4,4,4
71,72,4,4,4
72,73,2,4,3
73,74,1,4,4
74,75,1,4,4
75,76,4,4,4
76,77,4,4,4
77,78,1,2,4
78,79,1,4,4
79,80,1,4,4
80,81,2,4,1
81,82,1,2,3
82,83,2,2,3
83,84,4,4,4
84,85,2,4,4
85,86,3,4,4
86,87,1,4,3
87,88,3,4,4
88,89,2,1,1
89,90,4,4,4
90,91,2,4,4
91,92,2,4,4
92,93,1,4,4
93,94,1,4,4
94,95,1,1,1
95,96,1,1,1
96,97,1,3,3
97,98,2,4,4
98,99,2,4,3
99,100,3,2,3
100,101,3,4,4
101,102,2,3,3
102,103,2,2,3
103,104,4,4,4
104,105,2,4,4
105,106,2,3,3
106,107,3,4,4
107,108,3,4,4
108,109,1,4,4
109,110,2,4,4
110,111,1,1,1
111,112,4,4,4
112,113,3,3,3
113,114,3,3,3
114,115,4,4,4
115,116,4,4,4
116,117,3,3,3
117,118,2,4,4
118,119,1,4,4
119,120,3,4,3
120,121,4,4,4
121,122,2,4,4
122,123,2,4,4
123,124,2,4,3
124,125,3,1,3
125,126,1,4,4
126,127,2,4,4
127,128,3,4,3
128,129,4,4,4
129,130,3,2,2
130,131,2,4,4
131,132,1,2,3
132,133,2,4,3
133,134,3,3,3
134,135,1,4,4
135,136,1,4,4
136,137,2,4,4
137,138,4,4,4
138,139,4,4,4
139,140,3,4,4
140,141,3,2,3
141,142,3,2,3
142,143,3,4,4
143,144,2,4,4
144,145,3,2,1
145,146,4,4,4
146,147,2,4,2
147,148,3,3,3
148,149,1,4,4
149,150,3,4,4
150,151,4,4,4
151,152,1,3,3
152,153,4,4,4
153,154,4,2,3
154,155,3,4,4
155,156,4,4,4
156,157,1,4,4
157,158,1,4,4
158,159,3,4,4
159,160,3,4,4
160,161,2,1,2
161,162,1,4,4
162,163,2,4,4
163,164,2,1,2
164,165,4,1,3
165,166,3,2,2
166,167,3,4,2
167,168,4,4,4
168,169,4,4,4
169,170,2,3,4
170,171,4,4,4
171,172,1,4,4
